Gejala,Penyakit,Label
"anus nyeri, anus gatal, benjolan atau bengkak di sekitar atau dekat anus, feses berdarah",Ambeien,5
"mata kuning, mudah lelah, nafsu makan turun, flu, feses pucat, urine gelap, kulit kuning, demam",Hepatitis,8
"feses atau tinja kering, tinja berdarah, feses atau tinja keras",Konstipasi,6
"perut terasa begah setelah makan, perut kembung, perut terasa penuh ketika makan, sering kentut, nyeri di perut bagian atas, nyeri ulu hati, mual muntah",Maag,9
"sembelit, diare, nyeri meningkat atau semakin parah saat berjalan",Usus Buntu,1
"feses pucat, flu, mudah lelah, nyeri perut, lemas, nyeri sendi",Hepatitis,8
"mual muntah, diare, demam, sembelit, meriang, nyeri meningkat atau semakin parah saat berjalan, nyeri meningkat ketika perut kanan bawah ditekan",Usus Buntu,1
"mata kuning, mual muntah, nafsu makan turun, nyeri di tengah perut, nyeri di bawah tulang dada, kulit gatal, tinja pucat, penyakit kuning",Batu Empedu,4
"nafsu makan turun, demam, penyakit kuning, kulit kuning, urine gelap, mual muntah, mata kuning, nyeri di tengah perut",Batu Empedu,4
"sembelit, kerusakan gigi, feses berminyak, diare, feses atau tinja berbau busuk",Celiac,10
"diare berdarah, mual muntah, demam, kram perut",Disentri,0
"mual muntah, sakit tenggorokan, perut kembung, lidah putih, bau mulut",GERD,11
"nyeri perut, demam tinggi, diare, demam berkepanjangan, mual muntah",Tipes,2
"kentut berlebihan, sakit perut setelah buang air besar, sering kentut, tekstur feses atau tinja tidak menentu, sulit menahan buang air besar, feses berair, kram perut, perut kembung",Irritable Bowel Syndrome (IBS),12
"urine gelap, tinja pucat, penyakit kuning",Batu Empedu,4
"anus nyeri, anus gatal, nyeri saat mengejan, feses berdarah",Ambeien,5
"nyeri perut, nyeri atau sakit kepala, pusing",Tipes,2
"jarang kencing, feses cair, tinja encer, sering buang air besar, feses berdarah, pusing",Diare,13
"sulit sendawa atau bersendawa, diare, nyeri meningkat atau semakin parah saat berjalan, nyeri meningkat ketika perut kanan bawah ditekan, mual muntah, meriang, nyeri perut kanan bawah",Usus Buntu,1
"mudah lelah, feses atau tinja berwarna hijau, keringat berlebih atau banyak berkeringat, nyeri perut, dehidrasi, mual muntah, nyeri atau sakit kepala, demam berkepanjangan",Tipes,2
"nyeri perut, perut kembung atau begah, berat badan turun drastis, mudah lelah, feses berdarah atau berlendir",Inflammatory Bowel Disease (IBD),3
"mudah lelah, demam berkepanjangan, diare, nyeri perut",Tipes,2
"feses berdarah, BAB berkali-kali, pusing, tinja encer, sering buang air besar, jarang kencing",Diare,13
"sembelit, feses berair, nyeri perut",Irritable Bowel Syndrome (IBS),12
"nyeri perut, mudah lelah, berat badan turun, nafsu makan turun, mata kuning, mual muntah",Hepatitis,8
"dehidrasi, tinja encer, jarang kencing, BAB berkali-kali",Diare,13
" tidak nafsu makan, mual muntah, lemas, sensasi dada terbakar, sesak napas, selera makan berubah, gejala maag yang hilang timbul selama beberapa hari",Tukak lambung,7
"gejala memburuk saat makan, gejala hilang timbul selama beberapa minggu, nyeri ulu hati,  sering sendawa atau bersendawa, perut kembung, sesak napas",Tukak lambung,7
"selera makan berubah, muntah darah, perut kembung, sesak napas, gejala memburuk saat makan, gejala makin parah saat perut kosong atau belum makan,  tidak nafsu makan, nyeri ulu hati",Tukak lambung,7
"mual muntah, sembelit, nafsu makan turun, feses berminyak, sakit perut",Celiac,10
"perut terasa penuh ketika makan, perut kembung, sering bersendawa atau sendawa, nyeri di perut bagian atas, nyeri ulu hati, mual muntah, sering kentut",Maag,9
"urine gelap, mata kuning, lemas, mudah lelah, nafsu makan turun, flu",Hepatitis,8
"dehidrasi, jarang kencing, lemas, sulit menahan buang air besar",Diare,13
"gejala memburuk saat makan,  sering sendawa atau bersendawa, perut kembung, muntah darah",Tukak lambung,7
"BAB berkali-kali, feses cair, BAB lebih dari 3 kali dalam sehari, dehidrasi, pusing, sulit menahan buang air besar, feses berdarah, tinja encer",Diare,13
"benjolan atau bengkak di sekitar atau dekat anus, feses berdarah, anus nyeri, nyeri saat mengejan",Ambeien,5
"penyakit kuning, mual muntah, nafsu makan turun, demam, tinja pucat, nyeri di bawah tulang dada, nyeri perut kanan atas, urine gelap",Batu Empedu,4
"demam tinggi, mual muntah, batuk kering, mudah lelah",Tipes,2
"nyeri sendi, mata kuning, mual muntah, lemas",Hepatitis,8
"diare berair atau lendir, kram perut, diare berdarah, demam",Disentri,0
"anus nyeri, nyeri saat mengejan, anus gatal, feses berdarah",Ambeien,5
"nyeri perut kanan atas, urine gelap, nyeri di tengah perut, demam, kulit gatal",Batu Empedu,4
"mudah lelah, anus berdarah, nafsu makan turun, feses berdarah atau berlendir, perut kembung atau begah, demam",Inflammatory Bowel Disease (IBD),3
"pusing, kejang, perut kembung, ruam kulit, mati rasa pada kaki dan tangan, feses berminyak, perut begah",Celiac,10
"jantung berdebar, sakit kepala, gejala muncul setelah makan, kliyengan, rasa panas pada tenggorokan",GERD,11
"diare berair atau lendir, diare berdarah, mual muntah, kram perut",Disentri,0
"jarang buang air besar, nyeri perut, sulit buang air besar, feses atau tinja kering",Konstipasi,6
"feses cair, BAB lebih dari 3 kali dalam sehari, lemas, perut kembung, tinja encer, sering buang air besar, jarang kencing, BAB berkali-kali",Diare,13
"kulit gatal, mata kuning, nyeri perut kanan atas, tinja pucat",Batu Empedu,4
"tekstur feses atau tinja tidak menentu, kram perut, sering kentut, diare, feses berlendir, feses berair, nyeri perut",Irritable Bowel Syndrome (IBS),12
"berat badan turun drastis, feses berdarah atau berlendir, perut kembung atau begah, nyeri perut, mudah lelah, nafsu makan turun",Inflammatory Bowel Disease (IBD),3
"feses berlendir, kentut berlebihan, nyeri perut, feses berair, sakit perut setelah buang air besar",Irritable Bowel Syndrome (IBS),12
"mudah lelah, feses atau tinja berwarna hijau, keringat berlebih atau banyak berkeringat, nyeri perut, dehidrasi, mual muntah",Tipes,2
"nyeri perut, feses berdarah atau berlendir, anus berdarah, demam, diare disertai darah, perut kembung atau begah",Inflammatory Bowel Disease (IBD),3
"nyeri saat mengejan, anus nyeri, feses berdarah, anus gatal",Ambeien,5
"BAB berkali-kali, lemas, sulit menahan buang air besar, pusing",Diare,13
"sensasi dada terbakar, perut terasa begah, gejala terasa memburuk ketika berbaring atau membungkuk, lemas, mual muntah",GERD,11
"nyeri perut, jarang buang air besar, sulit buang air besar, tinja berdarah, perut terasa sesak dan penuh",Konstipasi,6
"mata kuning, mual muntah, nafsu makan turun, nyeri di tengah perut, nyeri di bawah tulang dada",Batu Empedu,4
"nyeri perut, jarang buang air besar, sulit buang air besar, tinja berdarah",Konstipasi,6
"sering kentut, mual muntah, perut kembung",Maag,9
"tinja pucat, nyeri di bawah tulang dada, nyeri di tengah perut, urine gelap, kulit kuning, nafsu makan turun, kulit gatal, mata kuning",Batu Empedu,4
"BAB lebih dari 3 kali dalam sehari, sulit menahan buang air besar, sering buang air besar",Diare,13
"kram perut, nyeri perut, sering kentut, feses berlendir, perut kembung, gejala hilang timbul, feses berair",Irritable Bowel Syndrome (IBS),12
"feses berlendir, nyeri perut, feses berair, sulit menahan buang air besar, gejala hilang timbul, kentut berlebihan, tekstur feses atau tinja tidak menentu, sering kentut",Irritable Bowel Syndrome (IBS),12
"mual muntah, sering kentut, perut kembung",Maag,9
"perut kembung atau begah, nyeri perut, anus berdarah, mudah lelah, nafsu makan turun, berat badan turun drastis",Inflammatory Bowel Disease (IBD),3
"feses berdarah atau berlendir, berat badan turun drastis, mudah lelah, anus berdarah, perut kembung atau begah, nafsu makan turun, diare disertai darah, nyeri perut",Inflammatory Bowel Disease (IBD),3
"mudah lelah, anus berdarah, nafsu makan turun, feses berdarah atau berlendir, perut kembung atau begah, demam, berat badan turun drastis",Inflammatory Bowel Disease (IBD),3
"mudah lelah, nafsu makan turun, perut kembung atau begah, anus berdarah, nyeri perut, demam",Inflammatory Bowel Disease (IBD),3
"nyeri sendi dan otot, nyeri atau sakit kepala, demam berkepanjangan, batuk kering, lemas",Tipes,2
"feses pucat, urine gelap, kulit kuning, mata kuning, flu, nafsu makan turun, nyeri perut, demam",Hepatitis,8
"feses atau tinja berbau busuk, kejang, feses berminyak, nafsu makan turun, kerusakan gigi",Celiac,10
"nyeri sendi dan otot, nyeri atau sakit kepala, demam berkepanjangan, batuk kering, lemas, demam tinggi",Tipes,2
"kulit kuning, flu, nyeri sendi, mata kuning, urine gelap, demam",Hepatitis,8
"nafsu makan turun, mual muntah, nyeri di tengah perut, urine gelap, kulit gatal, demam",Batu Empedu,4
"batuk kering, lemas, dehidrasi, hilang selera makan, feses atau tinja berwarna hijau",Tipes,2
"perut terasa begah setelah makan, perut terasa penuh ketika makan, nyeri ulu hati, sering bersendawa atau sendawa, perut kembung, nyeri di perut bagian atas",Maag,9
"anus nyeri, anus gatal, nyeri saat mengejan",Ambeien,5
"anus berdarah, nyeri perut, diare disertai darah, nafsu makan turun, berat badan turun drastis, demam, feses berdarah atau berlendir",Inflammatory Bowel Disease (IBD),3
"tinja encer, feses keluar terus-menerus, dehidrasi",Diare,13
"perut kembung atau begah, nyeri perut, anus berdarah",Inflammatory Bowel Disease (IBD),3
"sulit menahan buang air besar, lemas, feses keluar terus-menerus, dehidrasi",Diare,13
"nyeri ulu hati, heartburn, lidah putih, gejala memburuk di malam hari, lemas",GERD,11
"penyakit kuning, nafsu makan turun, nyeri di bawah tulang dada, mata kuning, demam, urine gelap, kulit gatal, kulit kuning",Batu Empedu,4
"sembelit, mudah lelah, feses pucat, diare, mati rasa pada kaki dan tangan, pusing, perut begah",Celiac,10
"kerusakan gigi, mati rasa pada kaki dan tangan, mual muntah",Celiac,10
"anus gatal, nyeri saat mengejan, feses berdarah, anus nyeri",Ambeien,5
"sembelit, demam, diare, sulit sendawa atau bersendawa, mual muntah, nyeri tengah perut atau ulu hati yang hilang timbul",Usus Buntu,1
"sakit tenggorokan, sulit menelan, sakit kepala, rasa panas pada tenggorokan, gejala muncul setelah makan, perut terasa begah, mual muntah, kliyengan",GERD,11
"nyeri perut, mudah lelah, feses berdarah atau berlendir",Inflammatory Bowel Disease (IBD),3
"sulit menahan buang air besar, lemas, feses keluar terus-menerus",Diare,13
"sembelit, hilang selera makan, mual muntah, pusing, keringat berlebih atau banyak berkeringat",Tipes,2
"feses atau tinja kering, perut terasa sesak dan penuh, jarang buang air besar, tinja berdarah",Konstipasi,6
"nyeri perut kanan atas, mata kuning, kulit kuning, urine gelap",Batu Empedu,4
"tinja encer, feses keluar terus-menerus, dehidrasi, perut kembung, sering buang air besar, pusing, BAB berkali-kali, lemas",Diare,13
"gejala makin parah saat perut kosong atau belum makan, nyeri ulu hati, gejala hilang timbul selama beberapa minggu",Tukak lambung,7
"perut kembung, sensasi dada terbakar, sesak napas, lemas, selera makan berubah, gejala memburuk saat makan, nyeri ulu hati",Tukak lambung,7
"mata kuning, berat badan turun, nyeri sendi, lemas, nyeri perut",Hepatitis,8
"nyeri perut, jarang buang air besar, sulit buang air besar, tinja berdarah, perut terasa sesak dan penuh, feses atau tinja keras",Konstipasi,6
"kulit gatal, kulit kuning, urine gelap, demam, nyeri di tengah perut, mual muntah, nyeri di bawah tulang dada",Batu Empedu,4
"sakit perut setelah buang air besar, feses berair, feses berlendir, gejala hilang timbul, sulit menahan buang air besar, sering kentut, sembelit",Irritable Bowel Syndrome (IBS),12
"feses berdarah atau berlendir, berat badan turun drastis, mudah lelah, anus berdarah, perut kembung atau begah, nafsu makan turun",Inflammatory Bowel Disease (IBD),3
"lemas, BAB berkali-kali, feses berdarah, dehidrasi",Diare,13
"meriang, nyeri meningkat ketika perut kanan bawah ditekan, sulit sendawa atau bersendawa, nyeri tengah perut atau ulu hati yang hilang timbul, sulit kentut, nyeri perut kanan bawah, mual muntah",Usus Buntu,1
"penyakit kuning, nafsu makan turun, nyeri perut kanan atas, kulit gatal, nyeri di bawah tulang dada",Batu Empedu,4
"sering kentut, feses berair, kentut berlebihan, nyeri perut, sulit menahan buang air besar, tekstur feses atau tinja tidak menentu, gejala hilang timbul, kram perut",Irritable Bowel Syndrome (IBS),12
"selera makan berubah,  tidak nafsu makan, perut kembung,  sering sendawa atau bersendawa, sensasi dada terbakar, muntah darah, gejala memburuk saat makan",Tukak lambung,7
"sulit menahan buang air besar, lemas, feses keluar terus-menerus, dehidrasi, BAB berkali-kali, pusing, feses berdarah, sering buang air besar",Diare,13
"lemas, sensasi dada terbakar,  tidak nafsu makan",Tukak lambung,7
"BAB berkali-kali, lemas, sulit menahan buang air besar, pusing, sering buang air besar, BAB lebih dari 3 kali dalam sehari",Diare,13
"gejala memburuk saat makan,  sering sendawa atau bersendawa, perut kembung, muntah darah,  tidak nafsu makan, gejala hilang timbul selama beberapa minggu, gejala makin parah saat perut kosong atau belum makan, gejala maag yang hilang timbul selama beberapa hari",Tukak lambung,7
"pusing, mual muntah, lidah putih, batuk, sakit kepala, gejala terasa memburuk ketika berbaring atau membungkuk, jantung berdebar, lemas",GERD,11
"perut begah, feses atau tinja berbau busuk, kejang, mual muntah, mudah lelah, diare, feses pucat, sembelit",Celiac,10
"nyeri saat mengejan, benjolan atau bengkak di sekitar atau dekat anus, anus nyeri, feses berdarah",Ambeien,5
"mata kuning, mudah lelah, nafsu makan turun",Hepatitis,8
"sulit buang air besar, feses atau tinja kering, nyeri perut",Konstipasi,6
"gejala makin parah saat perut kosong atau belum makan, gejala hilang timbul selama beberapa minggu, sesak napas",Tukak lambung,7
"mual muntah, demam, mudah lelah",Hepatitis,8
"anus nyeri, feses berdarah, benjolan atau bengkak di sekitar atau dekat anus, nyeri saat mengejan",Ambeien,5
"feses berminyak, kejang, nafsu makan turun",Celiac,10
"gejala makin parah saat perut kosong atau belum makan, nyeri ulu hati, gejala maag yang hilang timbul selama beberapa hari, gejala memburuk saat makan, muntah darah, perut kembung, lemas,  tidak nafsu makan",Tukak lambung,7
"penyakit kuning, nafsu makan turun, nyeri di bawah tulang dada",Batu Empedu,4
"feses pucat, urine gelap, demam, lemas, nafsu makan turun",Hepatitis,8
"mual muntah, diare, demam, sembelit, meriang",Usus Buntu,1
"perut kembung atau begah, nyeri perut, anus berdarah, mudah lelah, berat badan turun drastis, diare disertai darah, demam",Inflammatory Bowel Disease (IBD),3
"feses cair, pusing, feses keluar terus-menerus, dehidrasi, BAB lebih dari 3 kali dalam sehari",Diare,13
"perut begah, feses berminyak, feses pucat, ruam kulit",Celiac,10
"gejala muncul setelah makan, heartburn, sulit menelan, lidah putih, lemas, mual muntah, gejala memburuk di malam hari, batuk",GERD,11
"mudah lelah, demam berkepanjangan, nyeri atau sakit kepala, sembelit",Tipes,2
"kerusakan gigi, perut kembung, feses berminyak, mati rasa pada kaki dan tangan, ruam kulit, anemia, feses pucat, sembelit",Celiac,10
"berat badan turun drastis, feses berdarah atau berlendir, anus berdarah, nyeri perut, nafsu makan turun, demam",Inflammatory Bowel Disease (IBD),3
"feses pucat, flu, mudah lelah",Hepatitis,8
"sulit buang air besar, feses atau tinja keras, nyeri perut, feses atau tinja kering",Konstipasi,6
"lemas, berat badan turun, kulit kuning, nafsu makan turun, mudah lelah, urine gelap, mata kuning, flu",Hepatitis,8
"benjolan atau bengkak di sekitar atau dekat anus, nyeri saat mengejan, anus gatal, feses berdarah",Ambeien,5
"kliyengan, sulit menelan, gejala muncul setelah makan, perut terasa begah, perut kembung",GERD,11
"anus gatal, feses berdarah, anus nyeri, nyeri saat mengejan",Ambeien,5
"gejala memburuk di malam hari, sakit kepala, mulut terasa asam atau pahit, heartburn, rasa panas pada tenggorokan, batuk, gejala terasa memburuk ketika berbaring atau membungkuk, lidah putih",GERD,11
"kerusakan gigi, mati rasa pada kaki dan tangan, mual muntah, diare, feses pucat",Celiac,10
"perut terasa sesak dan penuh, tinja berdarah, feses atau tinja keras, jarang buang air besar, feses atau tinja kering, nyeri perut",Konstipasi,6
"perut terasa begah setelah makan, sering kentut, perut kembung, perut terasa penuh ketika makan, mual muntah, nyeri ulu hati, nyeri di perut bagian atas",Maag,9
"feses berlendir, kentut berlebihan, nyeri perut",Irritable Bowel Syndrome (IBS),12
"nyeri ulu hati, lemas, gejala hilang timbul selama beberapa minggu, mual muntah, selera makan berubah,  sering sendawa atau bersendawa,  tidak nafsu makan, gejala maag yang hilang timbul selama beberapa hari",Tukak lambung,7
"gejala makin parah saat perut kosong atau belum makan, muntah darah, gejala memburuk saat makan",Tukak lambung,7
"diare, nyeri perut, lemas, mual muntah, keringat berlebih atau banyak berkeringat, sembelit, demam berkepanjangan, batuk kering",Tipes,2
"kulit kuning, mata kuning, nyeri sendi, flu, nyeri perut, demam, lemas, nafsu makan turun",Hepatitis,8
"feses berdarah, jarang kencing, feses cair",Diare,13
"feses berdarah, anus gatal, anus nyeri, benjolan atau bengkak di sekitar atau dekat anus",Ambeien,5
"diare berair atau lendir, kram perut, demam, diare berdarah",Disentri,0
"gejala hilang timbul, sembelit, feses berlendir, sulit menahan buang air besar, feses berair, perut kembung, diare, sakit perut setelah buang air besar",Irritable Bowel Syndrome (IBS),12
"kerusakan gigi, mati rasa pada kaki dan tangan, mual muntah, diare, feses pucat, anemia, pusing",Celiac,10
"pusing, kejang, perut kembung",Celiac,10
"feses atau tinja keras, tinja berdarah, perut terasa sesak dan penuh, nyeri perut, jarang buang air besar, sulit buang air besar",Konstipasi,6
"perut terasa begah setelah makan, nyeri ulu hati, perut kembung, sering kentut, perut terasa penuh ketika makan",Maag,9
"nyeri perut, mudah lelah, dehidrasi, pusing, sembelit",Tipes,2
"nyeri di bawah tulang dada, urine gelap, demam, mual muntah, kulit gatal, mata kuning",Batu Empedu,4
"pusing, mual muntah, lidah putih, batuk",GERD,11
"anus nyeri, benjolan atau bengkak di sekitar atau dekat anus, feses berdarah",Ambeien,5
"mual muntah, batuk kering, menggigil, lemas, diare",Tipes,2
"diare berdarah, diare berair atau lendir, kram perut, mual muntah",Disentri,0
"nyeri di perut bagian atas, perut terasa penuh ketika makan, perut terasa begah setelah makan",Maag,9
"sering bersendawa atau sendawa, perut terasa begah setelah makan, nyeri ulu hati",Maag,9
"berat badan turun, urine gelap, mata kuning, demam, nafsu makan turun, kulit kuning, nyeri perut, mual muntah",Hepatitis,8
"jarang kencing, feses cair, tinja encer, sering buang air besar, feses berdarah",Diare,13
"demam, mudah lelah, perut kembung atau begah, anus berdarah, berat badan turun drastis, diare disertai darah, nafsu makan turun, feses berdarah atau berlendir",Inflammatory Bowel Disease (IBD),3
"feses berdarah atau berlendir, mudah lelah, perut kembung atau begah, berat badan turun drastis, demam, nyeri perut, diare disertai darah",Inflammatory Bowel Disease (IBD),3
"gejala memburuk saat makan,  tidak nafsu makan, gejala hilang timbul selama beberapa minggu, mual muntah",Tukak lambung,7
"sembelit, feses berair, nyeri perut, gejala hilang timbul, kram perut, sering kentut, perut kembung, sulit menahan buang air besar",Irritable Bowel Syndrome (IBS),12
"ruam kulit, sembelit, nafsu makan turun, anemia, mudah lelah, mual muntah, kejang",Celiac,10
"sulit sendawa atau bersendawa, diare, demam, diare, sulit kentut, sembelit, nyeri tengah perut atau ulu hati yang hilang timbul",Usus Buntu,1
"diare disertai darah, nafsu makan turun, feses berdarah atau berlendir, demam, perut kembung atau begah, nyeri perut",Inflammatory Bowel Disease (IBD),3
"sulit buang air besar, feses atau tinja kering, perut terasa sesak dan penuh, tinja berdarah",Konstipasi,6
"perut terasa sesak dan penuh, feses atau tinja kering, tinja berdarah",Konstipasi,6
"feses berdarah atau berlendir, perut kembung atau begah, anus berdarah, nyeri perut, berat badan turun drastis, mudah lelah, demam, nafsu makan turun",Inflammatory Bowel Disease (IBD),3
"tekstur feses atau tinja tidak menentu, feses berlendir, nyeri perut, diare, perut kembung, kentut berlebihan",Irritable Bowel Syndrome (IBS),12
"diare, sembelit, sulit kentut, nyeri perut kanan bawah, nyeri meningkat atau semakin parah saat berjalan, mual muntah, demam",Usus Buntu,1
"anus gatal, nyeri saat mengejan, feses berdarah, benjolan atau bengkak di sekitar atau dekat anus",Ambeien,5
"lemas, mudah lelah, berat badan turun, nyeri sendi, mata kuning, urine gelap, mual muntah",Hepatitis,8
"anus nyeri, anus gatal, benjolan atau bengkak di sekitar atau dekat anus, nyeri saat mengejan",Ambeien,5
"sulit menahan buang air besar, tinja encer, sering buang air besar",Diare,13
"jantung berdebar, lidah putih, gejala muncul setelah makan, sulit menelan",GERD,11
"perut kembung atau begah, anus berdarah, demam, nyeri perut",Inflammatory Bowel Disease (IBD),3
"diare, demam, nyeri meningkat atau semakin parah saat berjalan, sembelit, nyeri perut kanan bawah",Usus Buntu,1
"nyeri perut, nafsu makan turun, lemas, feses pucat",Hepatitis,8
"nafsu makan turun, demam, penyakit kuning",Batu Empedu,4
"perut kembung, sensasi dada terbakar, sesak napas, lemas, selera makan berubah",Tukak lambung,7
"perut terasa begah setelah makan, sering kentut, perut kembung, perut terasa penuh ketika makan",Maag,9
"urine gelap, tinja pucat, penyakit kuning, mual muntah, demam",Batu Empedu,4
"gejala hilang timbul, sembelit, feses berlendir",Irritable Bowel Syndrome (IBS),12
"diare, sulit kentut, nyeri meningkat atau semakin parah saat berjalan, mual muntah, sulit sendawa atau bersendawa, nyeri perut kanan bawah",Usus Buntu,1
"mual muntah, jantung berdebar, berasa angin di dada, nyeri dada, perut terasa begah, batuk",GERD,11
"sulit menahan buang air besar, lemas, feses keluar terus-menerus, dehidrasi, BAB berkali-kali, pusing, feses berdarah",Diare,13
"kulit kuning, urine gelap, demam, kulit gatal, tinja pucat, penyakit kuning",Batu Empedu,4
"BAB lebih dari 3 kali dalam sehari, lemas, pusing, feses berdarah, tinja encer, feses cair, perut kembung, feses keluar terus-menerus",Diare,13
"menggigil, batuk kering, sembelit, mudah lelah, dehidrasi, feses atau tinja berwarna hijau",Tipes,2
"nyeri perut, mudah lelah, berat badan turun",Hepatitis,8
"feses atau tinja keras, nyeri perut, perut terasa sesak dan penuh, tinja berdarah, jarang buang air besar, sulit buang air besar",Konstipasi,6
"urine gelap, mual muntah, berat badan turun, nyeri sendi, feses pucat, mudah lelah, lemas, demam",Hepatitis,8
"sulit buang air besar, feses atau tinja keras, nyeri perut",Konstipasi,6
"perut kembung, nyeri di perut bagian atas, perut terasa begah setelah makan, mual muntah, perut terasa penuh ketika makan, sering bersendawa atau sendawa, sering kentut",Maag,9
"demam, kram perut, diare berdarah, diare berair atau lendir",Disentri,0
"feses atau tinja kering, nyeri perut, tinja berdarah, perut terasa sesak dan penuh",Konstipasi,6
"perut kembung, nyeri di perut bagian atas, perut terasa begah setelah makan",Maag,9
"pusing, sembelit, sakit perut, perut begah",Celiac,10
"nyeri perut, jarang buang air besar, sulit buang air besar, perut terasa sesak dan penuh, tinja berdarah, feses atau tinja keras",Konstipasi,6
"feses berdarah, anus nyeri, anus gatal, nyeri saat mengejan",Ambeien,5
"kulit gatal, kulit kuning, urine gelap, demam, nyeri di tengah perut, mual muntah",Batu Empedu,4
"mudah lelah, anus berdarah, demam, nafsu makan turun, diare disertai darah, feses berdarah atau berlendir, berat badan turun drastis, perut kembung atau begah",Inflammatory Bowel Disease (IBD),3
"perut terasa sesak dan penuh, tinja berdarah, feses atau tinja keras, jarang buang air besar, feses atau tinja kering, nyeri perut",Konstipasi,6
"mual muntah, kulit gatal, nafsu makan turun, kulit kuning, mata kuning, nyeri di tengah perut",Batu Empedu,4
"sering kentut, perut kembung, nyeri di perut bagian atas, perut terasa begah setelah makan, perut terasa penuh ketika makan, sering bersendawa atau sendawa",Maag,9
"perut terasa begah setelah makan, perut kembung, perut terasa penuh ketika makan, sering kentut, nyeri di perut bagian atas, nyeri ulu hati, mual muntah",Maag,9
"feses cair, feses keluar terus-menerus, feses berdarah, sering buang air besar, dehidrasi, sulit menahan buang air besar, tinja encer",Diare,13
"demam, anus berdarah, nyeri perut, nafsu makan turun, diare disertai darah, feses berdarah atau berlendir",Inflammatory Bowel Disease (IBD),3
"selera makan berubah, sensasi dada terbakar, lemas, gejala maag yang hilang timbul selama beberapa hari",Tukak lambung,7
"nyeri sendi, mudah lelah, mata kuning, urine gelap, feses pucat, flu, nyeri perut, kulit kuning",Hepatitis,8
"feses berair, kram perut, nyeri perut, feses berlendir, sembelit",Irritable Bowel Syndrome (IBS),12
"diare berdarah, kram perut, demam, mual muntah",Disentri,0
"sulit menahan buang air besar, tinja encer, sering buang air besar, BAB berkali-kali, perut kembung",Diare,13
"kram perut, demam, diare berdarah, diare berair atau lendir",Disentri,0
"nyeri perut kanan atas, mata kuning, kulit kuning, urine gelap, nyeri di bawah tulang dada",Batu Empedu,4
"sembelit, nyeri perut, feses berair, sulit menahan buang air besar, feses berlendir, perut kembung, gejala hilang timbul",Irritable Bowel Syndrome (IBS),12
"gejala hilang timbul, sembelit, feses berlendir, sulit menahan buang air besar, tekstur feses atau tinja tidak menentu",Irritable Bowel Syndrome (IBS),12
"mulut terasa asam atau pahit, pusing, gejala memburuk di malam hari, perut kembung, mual muntah, gejala terasa memburuk ketika berbaring atau membungkuk, rasa panas pada tenggorokan",GERD,11
"perut terasa begah, sakit kepala, nyeri ulu hati",GERD,11
"berasa angin di dada, pusing, jantung berdebar, nyeri dada, kliyengan, nyeri ulu hati",GERD,11
"muntah darah, gejala makin parah saat perut kosong atau belum makan, lemas, sensasi dada terbakar, nyeri ulu hati",Tukak lambung,7
"selera makan berubah, muntah darah, perut kembung, sesak napas, gejala memburuk saat makan, gejala makin parah saat perut kosong atau belum makan",Tukak lambung,7
"diare, sulit kentut, nyeri meningkat atau semakin parah saat berjalan",Usus Buntu,1
"perut kembung, sering bersendawa atau sendawa, sering kentut, perut terasa begah setelah makan, perut terasa penuh ketika makan, nyeri di perut bagian atas, mual muntah",Maag,9
"lemas, berat badan turun, kulit kuning, nafsu makan turun",Hepatitis,8
"perut terasa begah setelah makan, perut kembung, sering bersendawa atau sendawa, nyeri ulu hati, nyeri di perut bagian atas, perut terasa penuh ketika makan, sering kentut",Maag,9
"nyeri perut, feses atau tinja keras, perut terasa sesak dan penuh, tinja berdarah, sulit buang air besar, feses atau tinja kering",Konstipasi,6
"jarang buang air besar, feses atau tinja kering, nyeri perut",Konstipasi,6
"sering bersendawa atau sendawa, perut kembung, sering kentut, nyeri ulu hati, nyeri di perut bagian atas, perut terasa penuh ketika makan",Maag,9
"diare berair atau lendir, mual muntah, diare berdarah",Disentri,0
"lemas, berat badan turun, kulit kuning",Hepatitis,8
"demam, berat badan turun drastis, diare disertai darah, nafsu makan turun, anus berdarah",Inflammatory Bowel Disease (IBD),3
"nyeri saat mengejan, anus nyeri, feses berdarah, anus gatal",Ambeien,5
"nyeri meningkat atau semakin parah saat berjalan, sembelit, mual muntah, nyeri perut kanan bawah, diare",Usus Buntu,1
"sulit kentut, meriang, nyeri meningkat atau semakin parah saat berjalan, sembelit",Usus Buntu,1
"perut kembung, sering bersendawa atau sendawa, sering kentut, perut terasa begah setelah makan, nyeri ulu hati, nyeri di perut bagian atas",Maag,9
"kram perut, mual muntah, diare berair atau lendir",Disentri,0
"kram perut, mual muntah, diare berair atau lendir, diare berdarah",Disentri,0
"mudah lelah, anus berdarah, demam",Inflammatory Bowel Disease (IBD),3
"muntah darah, gejala makin parah saat perut kosong atau belum makan, lemas",Tukak lambung,7
"berat badan turun drastis, nyeri perut, diare disertai darah, anus berdarah, perut kembung atau begah, demam",Inflammatory Bowel Disease (IBD),3
"nyeri perut, nyeri atau sakit kepala, pusing, mual muntah, demam tinggi",Tipes,2
"diare berair atau lendir, demam, mual muntah",Disentri,0
"feses pucat, urine gelap, kulit kuning, mata kuning",Hepatitis,8
"mata kuning, berat badan turun, nyeri sendi, lemas",Hepatitis,8
"perut kembung, kejang, nyeri sendi, mudah lelah, kerusakan gigi, diare, feses pucat",Celiac,10
